division,prim_total,prim_1,prim_2,prim_3,prim_4,prim_5,prim_6,sec_total,sec_cb_total,sec_7,sec_8,sec_9,sec_co_total,sec_10,sec_11,sec_12
Total País,0.6853933299682495,0.06261251703620019,1.0501362084981736,0.9117762404712408,0.9691540343331724,1.1116163780073975,-0.0017457092480981373,9.327531977620438,7.559820865977841,2.294732885029646,10.174530810274675,10.431338272427084,13.135019220545544,11.656031862956127,8.507841537485277,20.745852502439718
Buenos Aires                                      ,0.3117927495253099,-0.6514601028768396,0.8810435755656414,0.7085820279428106,0.5520460050141054,0.5776915657031481,-0.2159443117727733,9.589413449702889,7.680788410931896,3.1703010927136575,10.48645676490429,9.704290503211794,14.171057026281744,12.86839717721243,9.67048414437508,21.656544529005586
Conurbano                            ,0.4668612393026734,-0.321285140562253,1.0390849472506716,0.8528892822313736,0.6024645240644162,0.6736368977338287,-0.06650736289478232,9.543975167976598,7.337152717611048,2.4871879992530666,10.169334356792177,9.642461777817658,14.781489975468062,13.067627071519553,10.021818659054745,23.3324566550001
Resto de Bs As                                   ,0.054687414550912194,-1.2167134511797286,0.6121058868537261,0.46990378160661805,0.4691362648887605,0.4215178355894693,-0.45631840042413785,9.664758323060155,8.240503091401393,4.2536214597711535,11.005054759898897,9.80775007509763,13.131171046899965,12.521926865470249,9.072113101058932,18.889260063470843
Catamarca                                         ,2.416300230745776,2.2315390857451973,2.9169391759319865,3.7501650600818692,2.7105645907708578,2.4977352141840328,0.4977600796416226,7.750573662753126,7.797390636991565,3.8021216258796215,9.46539110861002,10.830938071596549,10.649598980188017,9.705177034842706,7.502061005770813,15.194782302132921
Chaco                                             ,1.7117165917339179,-1.0152068643275811,0.9975062344139616,2.9076396807297584,2.1547156481808685,3.221250049044613,1.7779705117085882,9.67790559301865,7.828170415564699,-2.270124345549746,12.921603579043023,12.166044856125907,12.264454823643106,11.042215677155994,7.068581332012883,19.86161124055637
Chubut                                            ,-0.06322584938938292,-0.5237671706690321,0.4495699765441685,0.354889589905369,0.6517231164214508,0.992807213048323,-2.4039962535123323,9.194675721071377,6.690430490814379,4.198668714797762,7.643032643032626,8.57966834895457,13.860551760844487,12.333986501197472,11.066537557061835,19.442179089871146
Ciudad de Buenos Aires                            ,0.6115907499969353,0.56030389363724,1.174492495611105,0.24816358943816397,0.7616629641383668,0.6067033319357762,0.31318901583483694,7.195088882863104,4.311346738628586,-2.7803811308965862,6.340603952004997,8.59293873312565,11.593867340467298,7.703979768401453,7.240065323897667,21.69929631435936
Cordoba                                           ,0.21086292238740612,0.01975861557967562,0.5957844495252118,0.8065066157413696,0.539486731315435,0.6649421284780885,-1.3474253656581823,9.750218129247159,7.5366162763960745,7.50218949930975,5.676381387956326,9.55485417636811,13.375896462956689,12.475199903805688,6.288816079025864,22.616616064035327
Corrientes                                        ,1.930986708230506,2.2780658600363495,2.2056313993173973,3.5489056510448904,3.8466593647316643,2.619916579770589,-3.1009476353605834,9.968884046448167,9.971982480999628,8.680051260145234,11.361241498227798,10.041535698248765,10.434214165388582,12.469992863167448,7.608778771889575,10.927944695559688
Entre Rios                                        ,0.7389871941667678,0.2278002235021006,1.0451326678610968,0.7301451750640524,0.8558654460293837,1.467324290998775,0.1024002621446698,9.825663324878207,9.762221799505426,7.601419199357338,12.512930397517366,9.310392040527603,9.836752702404596,10.798301023742098,8.228021978021971,10.301467032081248
Formosa                                           ,1.4980983691097691,1.6724204065976096,-0.3359829550110618,1.488350346762246,2.4721878862793574,2.967491798389503,0.5784746536763663,11.542969665713343,10.027761201774638,9.753761969904247,10.553390491036637,9.780942936987302,14.11727715767961,11.333061557276807,9.06036241449658,23.63337443485409
Jujuy                                             ,0.3269857178651989,0.13359061896987612,-0.13084975369457652,0.5351381128511861,0.4248217265968748,0.9057195835116119,0.06694934166480948,8.191746031746035,5.927189736544719,-5.911365779357368,6.947198810114031,15.577327722251454,13.941521163627712,6.733127620856067,9.417362420324991,28.32029265318566
La Pampa                                          ,-0.14366552320637993,-0.08971828458639663,-0.32438277167057095,-0.211342021838675,0.017400382808418158,-0.6573257221933915,0.39799273230661925,8.50114629159178,5.731443923510511,3.1452087007642575,6.187185929648237,8.260196179659275,12.726588943211723,9.230157151382542,8.61909175162188,21.65991902834007
La Rioja                                          ,0.7609507067690942,0.13022717407032758,-0.6842335128839778,1.3613323678493856,0.5288736420811944,1.655113877493278,1.5641139147115268,4.183572760171074,2.754040724644767,-8.986244019138752,6.1093247588424475,10.967158782765893,7.663936988185284,8.977556109725683,8.048365766106173,5.544892301130304
Mendoza                                           ,0.7218317054231846,-0.18388350090458516,1.7631816133393414,0.5812721382943238,0.8581182911450753,1.199320070511206,-0.01026729183065811,9.915723889162152,8.073547383624046,2.925172425744293,11.729603729603724,9.140155958871034,13.583606819819096,11.606225803902987,7.708217726882921,23.193674976915972
Misiones                                          ,1.9631198445810298,0.13655502029359923,1.8469356796116472,2.3199342498505615,2.6366658934508678,2.5592380362397336,2.306022788931088,9.84491396927946,7.557840616966587,-3.99967349604114,12.619073490528464,13.599225067385447,13.79431610875443,14.894189865919984,9.923028916163943,16.625349860055977
Neuquén                                           ,0.149763722282799,-0.655221033424553,0.17535070140280595,0.3979678238780764,0.2941685412701247,0.6243114212265795,0.11448196908986574,9.11263818344787,8.28321409229541,-2.455595457633706,12.914302776948333,12.552705551651442,10.758159149248257,8.7411407357408,7.2864679880222525,17.90666215759215
Rio Negro                                         ,-0.36143588620245737,-0.34577034416210495,-0.016302575806975028,-0.4740138818351056,0.4079347304431309,-0.14070518126138154,-1.6499162479061908,7.601465997013719,5.965993100049289,-2.0930805220389175,8.045292014302746,10.989093644227154,11.161217587373173,6.123633549385701,9.152621722846447,21.280327389652143
