division,estructura,prim_total,prim_1,prim_2,prim_3,prim_4,prim_5,prim_6,prim_7,sec_total,sec_7,sec_8,sec_9,sec_10,sec_11,sec_12
Total País,,0.5162379566454804,-0.1471950158560945,0.9196162839435496,0.8828359391307252,0.629228625804751,0.7780369326511343,0.07103926022844376,0.23635254650808757,8.04719453540115,2.1713723319185645,4.197436930283912,5.52444538765902,9.761970956862141,8.192727070577124,19.990977909976458
Buenos Aires                                      ,6-6,0.40568504225620794,-0.6914813701923023,1.1792721830706068,0.8946518215779964,0.5083991925827149,0.6618244947112428,-0.23293473280707344,,6.688717930692237,1.0589917260206514,2.846019687636761,2.698363798178965,9.784366576819409,8.523543062033855,18.661079411932654
Conurbano                            ,6-6,0.5897006843648942,-0.5476175875390977,1.425829910443742,1.2101424556957818,0.6915659980050957,0.8320675853964143,-0.20289936982507673,,6.833343664285375,0.6619149995234155,2.8603486232677815,2.83270353447939,9.23125895272959,8.288978157167968,20.892901574663206
Resto de Bs As                                   ,6-6,0.1093137759582361,-0.9188717650479759,0.7838443470513585,0.3849182048814703,0.2128230349637792,0.38533216893394373,-0.28169789506524734,,6.4575700020278095,1.6822367764885833,2.8232087227414304,2.483704303131084,10.671003954586032,8.903413364776684,15.052416203043816
Catamarca                                         ,6-6,-0.13486655309482964,-0.8511252163877683,-0.9065155807365466,0.42116346406948124,-0.4967357365881375,0.6059710316287357,0.4080443019527804,,6.236703081299449,1.0376633358954557,4.8372571722629605,4.940119760479046,8.156028368794331,4.165991246555365,16.827852998065765
Chaco                                             ,7-5,1.312585132290411,0.5677244418082523,1.1654243709591157,1.0327152118196934,1.7425055743661773,0.8908779120833215,2.9276791025749986,0.897490429604421,14.277317872548135,,9.908518474515859,12.928623671643077,13.958588331293353,14.267661571789628,23.731085998850787
Chubut                                            ,6-6,0.16671437953623053,0.24808542767770803,0.19289340101522712,0.24865725084542867,0.616179685947122,-0.12745098039215544,-0.17092298411421886,,6.574256106094429,2.0802246993768057,4.095652173913054,4.945992040932348,9.268982229402251,9.995557529986677,11.712534237641837
Ciudad de Buenos Aires                            ,7-5,0.784440461850341,1.0680981764852382,1.730779241059805,1.311763230499115,1.0511848099976984,1.3259444824008648,-0.37453183520598365,-0.5714285714285704,7.217676767676763,,-0.043848964677223545,5.460860764152461,6.480132616667501,5.827524292353191,19.971501215389345
Cordoba                                           ,6-6,0.008465966813421821,-0.33523475208424525,0.3473049814430169,0.2574773695205156,0.15549239257649972,-0.5615594727109225,0.16511583908085592,,7.578903899474963,4.543476909689856,2.3730041255944307,5.986940445283606,10.017038830598151,5.386629502935082,20.95302315126995
Corrientes                                        ,6-6,1.5397107967144539,1.4647914740376575,1.106163580970236,2.8906486650222822,2.9873487856681145,2.033024720817032,-1.4947975184407118,,8.714399183025074,5.186972255729803,7.870370370370372,9.766725118231578,10.38718612633227,8.735521235521235,12.458407490520777
Entre Rios                                        ,6-6,1.0933444600816111,0.22518544683857256,1.5766230550167109,1.716635394626528,1.0105708245243115,1.9454248084703476,-0.035412332344750386,,8.833675662386883,3.2953841387856215,8.809135399673734,8.918006924054513,12.947095745740757,7.380382775119614,14.429395199141746
Formosa                                 ,6-6,0.3701767523348035,0.986370157819235,0.09486029665401624,0.609161793372315,1.0793756227166988,0.6705783738474435,-1.2262624542280465,,11.008788256429353,7.624151482672373,9.295030543173185,7.516006309733694,11.504424778761061,11.956257594167678,24.000557180665837
Jujuy                                             ,7-5,-0.06730717038483924,-0.24933510638298628,0.1197126895450964,0.4280211157083739,0.1045244139166737,0.3251277287505867,0.07467144563917806,-1.250813390210397,8.898953331616656,,3.797135724609115,6.42607376129841,7.565889124507725,6.366553907537508,23.746218025121475
La Pampa                                          ,6-6,0.13085501858735427,0.17198547678196974,-0.3606853020739355,0.4270584215920731,-0.05144032921810593,0.21590500179921118,0.37479921470640654,,7.248376156808655,0.3801652892561975,4.300756339908059,5.387931034482762,9.203509375537584,8.603612351912995,19.392471934844806
La Rioja                                          ,7-5,0.5729212397927796,0.6059613494923042,-0.6758880855077013,1.2529137529137546,-0.01506024096386338,1.022276472383275,1.0370596309287765,0.7260930016993652,6.592840587174855,,3.945371775417301,4.9187463726059235,8.639378741303998,4.649548924358082,11.477736384601739
Mendoza                                           ,7-5,0.6704039514950546,-0.9291333484411965,2.77603423680457,0.7377392762330564,0.020936144758493924,1.0685907388802591,0.37012113055181306,0.4199160167966385,10.18418490510676,,5.160014898432795,7.2452349928789985,10.922715437861184,9.343159002895064,21.512331511079587
Misiones                                          ,7-5,1.300255350064643,0.912486043198703,1.9528130671506378,1.873715738515652,0.9516700877029356,1.6450782180881713,2.0134741999693784,-0.33817539005457187,11.978467028891082,,8.061231910406512,11.654387139986596,13.63025731115016,11.345323277251348,18.893087352745052
Neuquén                                           ,7-5,-0.6130304614361122,-1.3956796159658604,-1.641414141414144,-0.6035578144853796,-0.835449258743537,-0.08409014463505443,-0.7813798836242665,0.9577922077922092,6.83025945608003,,1.7214285714285742,8.163265306122447,7.759843916282368,6.740689790704529,11.850926031132822
Rio Negro                                         ,7-5,0.13132853279317086,-0.08203445447088187,0.15581177937052448,0.1553369332051232,-0.07718431614696508,0.2505284584670733,0.42962037181690144,0.0782778864970648,7.682054616384915,,0.34036759700476527,4.871457785568216,6.013841380956174,5.859270489610277,24.032153746650653
Salta                                             ,7-5,0.3847337642351534,0.027731558513584054,-0.2582017010935595,1.2166130611103312,0.5240864383659962,2.446517136723667,-0.9608418805048251,-0.43082814743897235,12.05838729808806,,9.031552639800065,7.391621129326049,11.82229535170712,11.556020544036521,25.041700295937595
San Juan                                          ,6-6,1.1506171187744618,0.473364419951962,3.378809129159759,1.7791333079171494,1.0491803278688598,1.5412944145127208,-1.6267605633802749,,8.478413327263553,4.76700251889169,6.6024032747920245,9.464421811127282,10.228567089376577,7.538397675383974,14.268200678989057
San Luis                                          ,6-6,0.5421126565498664,1.4893617021276646,-0.7862759113652624,1.5304347826087015,-0.18499248468030638,0.7186489399928124,0.5271790065604556,,5.10296333500753,0.9669708822251186,5.336225596529288,7.2576992753623095,7.115830587086538,4.837209302325581,5.455080135274228
Santa Cruz                                        ,7-5,0.8614756627192192,0.7084845343010215,0.6012024048096265,1.034427024406012,1.4655030462703718,1.0397450947509614,0.251551232601037,0.9067357512953358,10.86303273126758,,0.48915701940323686,0.9721322099805576,0.8319467554076567,3.497453310696102,44.72123368920522
Santa Fe                                          ,7-5,0.3566407542176697,-0.19445067683793416,-0.24247249565720574,-0.36086814565325365,0.8197007829977676,0.02934864354238087,0.8388179119886506,1.6436226331278792,11.271100714421191,,3.243004678259334,6.742236186574544,10.5610500046215,9.83010791046107,31.80347603641562
Santiago Del Estero                               ,7-5,0.9010372741099593,-0.24791644688257908,0.8972474273837885,2.122248936563725,1.1371676943293174,2.0722199425523176,1.2574726860441081,-1.074505828687272,9.100119499142718,,8.703357290538534,8.546103244508862,10.705579631635967,7.458191329159069,10.42198925204828
Tierra Del Fuego                                  ,6-6,1.098025829208623,0.9457092819614701,1.2531328320801902,1.5117401093599256,0.7939133311280234,1.163984936665517,0.9040333796940163,,6.196242643730205,1.2561983471074378,2.4983776768332238,2.1473406012553715,5.145339124624123,3.201970443349756,24.787273399926015
Tucumán                                           ,6-6,0.3393054967490523,0.473916102040065,0.1111071287767447,0.3990449089065592,0.4164409534127893,0.643388745913605,-0.013967455827921693,,7.096996540852407,2.5492840172092697,5.584653878231861,5.926763440075866,6.788553900795085,6.450332877739076,18.763594180482382
