provincia,departamento,sector,ambito,grado,0anos,1ano,2anos,3anos,4anos,5anos,6anos,7anos,8anos,9anos,10anos,11anos,12anos,13anos,14anos,15anos,16anos,17anos,18anos,19anos,20anos,21anos,22anos,23anos,24anos,25anos,26anos,27anos,28anos,29anos,menosde18anos,11anosymenos,6anosymas,18anosymas,25anosymas,30anosymas,de20a24anos,de25a29anos
Buenos Aires,25 DE MAYO,Estatal,Rural,1°, , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,10°, , , , , , , , , , , , , , , ,99,11,8,2, , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,11°, , , , , , , , , , , , , , , , ,85,8, ,2, , , , , , , , , , , , , , , , ,6, 
Buenos Aires,25 DE MAYO,Estatal,Rural,12°, , , , , , , , , , , , , , , , , ,85,3, , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,2°, , , , , , , ,88,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,3°, , , , , , , , ,91,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,4°, , , , , , , , , ,97,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,5°, , , , , , , , , , ,97,10, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,6°, , , , , , , , , , , ,98,4, ,1, , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,7°, , , , , , , , , , , , ,104,12,1, , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,8°, , , , , , , , , , , , , ,99,6,4,1, , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,9°, , , , , , , , , , , , , , ,103,16,4,3, , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,Sala de 2, , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,Sala de 3, , , ,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,Sala de 4, , , , ,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,Sala de 5, , , , , ,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,1°, , , , , , ,291, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,10°, , , , , , , , , , , , , , , ,258,63,19,8,1, , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,11°, , , , , , , , , , , , , , , , ,276,67,14,6, , , , , , , , , , , , , , , , ,1, 
Buenos Aires,25 DE MAYO,Estatal,Urbano,12°, , , , , , , , , , , , , , , , , ,218,29,6, , , , , , , , , , , , , , , , ,7, 
Buenos Aires,25 DE MAYO,Estatal,Urbano,13°/14°, , , , , , , , , , , , , , , , , , ,27,5, , , , , , , , , , , , , , , , ,1, 
Buenos Aires,25 DE MAYO,Estatal,Urbano,2°, , , , , , , ,325,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,3°, , , , , , , , ,349,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,4°, , , , , , , , , ,303,15, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,5°, , , , , , , , , , ,299,18, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,6°, , , , , , , , , , , ,289,17,1, , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,7°, , , , , , , , , , , , ,292,60,9,29,16,17,2,2, , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,8°, , , , , , , , , , , , , ,323,66,8,2, ,1, , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,9°, , , , , , , , , , , , , , ,301,33,13,3,5,2, , , , , , , , , , , , , , , , ,1, 
Buenos Aires,25 DE MAYO,Estatal,Urbano,Deambuladores, ,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,Lactantes,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,Sala de 2, , ,300, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,Sala de 3, , , ,272, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,Sala de 4, , , , ,352, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,Sala de 5, , , , , ,353, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,SNU, , , , , , , , , , , , , , , , , , ,40,48,48,42,42,37,36,37,27,28,29,19,5, , , , ,164, , 
