provincia,departamento,sector,ambito,grado,0anos,1ano,2anos,3anos,4anos,5anos,6anos,7anos,8anos,9anos,10anos,11anos,12anos,13anos,14anos,15anos,16anos,17anos,18anos,19anos,20anos,21anos,22anos,23anos,24anos,25anos,26anos,27anos,28anos,29anos,menosde18anos,11anosymenos,6anosymas,18anosymas,25anosymas,30anosymas,de20a24anos,de25a29anos
Buenos Aires,25 DE MAYO,Estatal,Urbano,Sala de 5, , , , , ,334, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,SNU, , , , , , , , , , , , , , , , , , ,32,50,51,67,43,47,28,26,24,28,25,23,1, , , , ,191, , 
Buenos Aires,25 DE MAYO,Privado,Urbano,1°, , , , , , ,147, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,10°, , , , , , , , , , , , , , ,1,105,7,3,2, , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,11°, , , , , , , , , , , , , , , , ,121,10, , , , , , , , , , , , , , , , , , ,1, 
Buenos Aires,25 DE MAYO,Privado,Urbano,12°, , , , , , , , , , , , , , , , , ,109,9,1, , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,2°, , , , , , , ,141, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,3°, , , , , , , , ,138,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,4°, , , , , , , , , ,148,4, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,5°, , , , , , , , , , ,134,2, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,6°, , , , , , , , , , , ,133,4,1, , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,7°, , , , , , , , , , , , ,133,3,1, , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,8°, , , , , , , , , , , , , ,125,6, , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,9°, , , , , , , , , , , , , , ,103,8,2, , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,Sala de 3, , , ,115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,Sala de 4, , , , ,121, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Privado,Urbano,Sala de 5, , , , , ,118, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,1°, , , , , ,1,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,10°, , , , , , , , , , , , , , , ,98,15,6,2, , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,11°, , , , , , , , , , , , , , , , ,76,16,4, , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,12°, , , , , , , , , , , , , , , , , ,79,20,9, , , , , , , , , , , , , , , , ,3, 
Buenos Aires,9 DE JULIO,Estatal,Rural,13°/14°, , , , , , , , , , , , , , , , , , ,5,2, , , , , , , , , , , , , , , , ,2, 
Buenos Aires,9 DE JULIO,Estatal,Rural,2°, , , , , , , ,124,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,3°, , , , , , , , ,146,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,4°, , , , , , , , , ,110,9,1,1, , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,5°, , , , , , , , , , ,99,6, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,6°, , , , , , , , , , , ,118,3,2, , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,7°, , , , , , , , , , , , ,96,10,1,2, , , , , , , , , , , , , , , ,1, , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,8°, , , , , , , , , , , , ,1,92,3,4,1, ,1, , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,9°, , , , , , , , , , , , , , ,92,11, , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,Sala de 2, , ,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,Sala de 3, , , ,91,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,Sala de 4, , , , ,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Rural,Sala de 5, , , , , ,115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,1°, , , , , , ,521, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,10°, , , , , , , , , , , , , , , ,416,114,41,13,2, , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,11°, , , , , , , , , , , , , , , , ,364,125,39,19, , , , , , , , , , , , , , ,4, ,5, 
Buenos Aires,9 DE JULIO,Estatal,Urbano,12°, , , , , , , , , , , , , , , , ,2,311,74,32, , , , , , , , , , , , , , ,4, ,11, 
Buenos Aires,9 DE JULIO,Estatal,Urbano,13°/14°, , , , , , , , , , , , , , , , , , ,84,3, , , , , , , , , , , , , , ,4, , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,2°, , , , , , , ,530,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,3°, , , , , , , , ,520,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,4°, , , , , , , , , ,499,21, , , , , , , , , , , , , , , , , , , , , , , , , , , 
