provincia,departamento,sector,ambito,grado,0anos,1ano,2anos,3anos,4anos,5anos,6anos,7anos,8anos,9anos,10anos,11anos,12anos,13anos,14anos,15anos,16anos,17anos,18anos,19anos,20anos,21anos,22anos,23anos,24anos,25anos,26anos,27anos,28anos,29anos,menosde18anos,11anosymenos,6anosymas,18anosymas,25anosymas,30anosymas,de20a24anos,de25a29anos
Buenos aires,25 DE MAYO,Estatal,Rural,1°,0,0,0,0,0,0,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,10°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,11°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, 
Buenos aires,25 DE MAYO,Estatal,Rural,12°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,79,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,2°,0,0,0,0,0,0,0,102,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,3°,0,0,0,0,0,0,0,0,83,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,4°,0,0,0,0,0,0,0,0,0,87,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,5°,0,0,0,0,0,0,0,0,0,0,92,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,6°,0,0,0,0,0,0,0,0,0,0,1,95,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,7°,0,0,0,0,0,0,0,0,0,0,0,0,101,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,8°,0,0,0,0,0,0,0,0,0,0,0,0,0,101,15,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,9°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,14,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,Sala de 2,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,Sala de 3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,Sala de 4,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Rural,Sala de 5,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,1°,0,0,0,0,0,0,315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,10°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,58,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, 
Buenos aires,25 DE MAYO,Estatal,Urbano,11°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,232,42,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, 
Buenos aires,25 DE MAYO,Estatal,Urbano,12°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, 
Buenos aires,25 DE MAYO,Estatal,Urbano,13°/14°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, 
Buenos aires,25 DE MAYO,Estatal,Urbano,2°,0,0,0,0,0,0,0,299,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,3°,0,0,0,0,0,0,0,0,316,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,4°,0,0,0,0,0,0,0,0,0,352,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,5°,0,0,0,0,0,0,0,0,0,0,302,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,6°,0,0,0,0,0,0,0,0,0,0,0,304,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,7°,0,0,0,0,0,0,0,0,0,0,0,0,263,47,24,11,25,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,8°,0,0,0,0,0,0,0,0,0,0,0,0,0,281,66,27,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,9°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,59,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,Deambuladores,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,Lactantes,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,Sala de 2,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,Sala de 3,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,Sala de 4,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,Sala de 5,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Estatal,Urbano,SNU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,55,61,76,66,46,36,40,33,17,25,19,5,0,0,0,0,199,0, 
Buenos aires,25 DE MAYO,Privado,Rural,1°,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,10°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,11°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,12°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,13°/14°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,2°,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,3°,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,4°,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,5°,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,6°,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,7°,0,0,0,0,0,0,0,0,0,0,0,0,47,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,8°,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,9°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Buenos aires,25 DE MAYO,Privado,Rural,Sala de 2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
